Taxon,Rank_in_flora,Leaves_plant_census,Leaves_Damage_Census,Percent_of_flora,Legume,Pinnate_Palmate,Secondary_veins,Tertiary_veins,Trichomes,Adaxial_Trichomes,Abaxial_Trichomes,Leaf_Mass_per_Area,Pos_Error_LMA,Neg_Error_LMA,LMA_measurements,Damage_Frequency,Error_Dam_Freq,Spec_Damage_Freq,Error_Spec_Dam_Freq,Mine_Freq,Error_Mine_Freq,Gall_Freq,Error_Gall_Freq,DTs_observed,Spec_DTs_observed,Total_DTs_20,Error_DT_div_20,Spec_DTs_20,Error_spec_DT_20,Mine_DTs_20,Error_mine_20,Gall DTs_20,"Error_gall,_20",DTOs,Specialized_DTOs,Perc_DTOs_specialized
Lobed_Plain_HB,13,28,22,1.154,N,Palmate,Brochi,Percurrent,Y,Y,Y,NA,NA,NA,NA,27.27,9.5,9.09090909,6.129089658,0,NA,9.09,6.13,5,2,4.856818182,0.350258169,1.952272727,0.213188602,0,NA,1,0,7,3,42.86
Lobed_Putter_Cups,15,21,14,0.865,N,Palmate,Brochi,Percurrent,Y,Y,Y,118,148,66,1,50,13.36,0,NA,0,NA,0,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0
Long&Loopy,7,51,46,2.101,N,Pinnate,Brochi,Percurrent,Y,Y,Y,96,74,42,2,4.35,3.01,4.348,3.01,0,NA,2.17,2.15,2,2,0.888339921,0.694654846,0.888339921,0.694654846,0,NA,0.44416996,0.49687323,2,2,100
Magic_Leaf,30,4,4,0.165,N,Pinnate,Brochi,Percurrent,N,N,N,82,104,41,1,25,21.65,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
Manute_Bol,22,8,8,0.33,N,Pinnate,Euc-Brochi,Percurrent,Y,N,Y,78,98,43,1,37.5,17.12,0,NA,0,NA,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0
Morphotype_MU31-31,22,8,8,0.33,N,Pinnate,Brochi,Reticulate,N,N,N,NA,NA,NA,NA,25,15.31,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0
Obby,40,1,1,0.041,N,Pinnate,Euc-Brochi,Percurrent,U,Unknown,N,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Oblong_1,40,1,1,0.041,N,Pinnate,Euc-Brochi,Percurrent,N,N,N,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Oblong_Straight_Vein,27,5,3,0.206,N,Pinnate,Eucampt,Percurrent,Y,Y,Y,85,105,48,1,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Pinnate_Agrophic,40,1,1,0.041,N,Pinnate,Unknown,Percurrent,U,Unknown,Unknown,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Pinnate_Truncate,6,53,51,2.18,Y,Pinnate,Euc-Brochi,Percurrent,Y,Y,Y,94,56,35,3,17.65,5.34,1.961,1.94,0,NA,0,NA,6,1,3.281093288,1.160714155,0.399759904,0.489848878,0,NA,0,NA,10,1,10
Rasy,19,14,13,0.577,N,Pinnate,Eucampt,Perc-Ram,N,N,N,86,67,37,2,15.38,10.01,0,NA,0,NA,0,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0
Short_Drip_Tip,2,226,208,9.31,Y,Pinnate,Eucampt,Percurrent,Y,N,Y,108,35,25,9,44.23,3.44,13.462,2.37,0.48,0.48,3.85,1.33,20,8,7.646274223,1.973898994,2.21938003,1.132344967,0.096597274,0.2954086,0.696455338,0.702679935,135,30,22.22
Small_Legume,40,1,1,0.04,Y,Pinnate,Unknown,Unknown,U,Unknown,Unknown,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Small_Stomata,21,9,8,0.371,N,Pinnate,Brochi,Percurrent,N,N,N,NA,NA,NA,NA,50,17.68,0,NA,0,NA,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0
Small_Toothed_Euphorb,16,20,19,0.824,N,Palmate,Crasp,Percurrent,Y,Y,Y,79,99,44,1,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Spear_Point,40,1,1,0.041,N,Pinnate,Brochi,Percurrent,Y,Unknown,Y,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Tacca,12,30,22,1.236,N,Palmate,Eucampt,Percurrent,Y,Unknown,Y,100,126,55,1,18.18,8.22,0,NA,0,NA,0,NA,4,0,3.809090909,0.393017569,0,NA,0,NA,0,NA,4,0,0
Tertiary_Ladder,19,14,12,0.58,Y,Pinnate,Eucampt,Percurrent,Y,Y,Y,NA,NA,NA,NA,25,12.5,8.333,7.98,0,NA,0,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,25
Tetracera,40,1,1,0.041,N,Pinnate,Crasp,Percurrent,Y,Y,Unknown,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
TP_Leaf,40,1,1,0.041,N,Palmate,Crasp,Percurrent,U,Unknown,Unknown,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Trinerved_Pulvinate,4,111,94,4.574,N,Palmate,Eucampt,Ramified,N,N,N,110,37,27,8,18.09,3.97,4.255,2.08,0,NA,2.13,1.49,11,2,3.800193638,1.678935707,0.771101239,0.681638272,0,NA,0.38555062,0.486725117,20,4,20
Tuffy,27,5,5,0.206,N,Pinnate,Eucampt,Percurrent,Y,Unknown,Y,NA,NA,NA,NA,20,17.89,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
Wavy_Brochi,40,1,1,0.041,N,Pinnate,Brochi,Percurrent,U,Unknown,Unknown,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Wispy,32,3,3,0.124,N,Pinnate,Eucampt,Percurrent,N,N,N,NA,NA,NA,NA,33.33,27.22,33.333,27.22,0,NA,33.33,27.22,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100
Yellow_Leaf,8,46,41,1.895,N,Pinnate,Eucampt,Unknown,Y,N,Y,107,64,40,3,14.63,5.52,4.88,3.36,0,NA,4.8780488,3.364120296,10,2,4.996873046,2.118294056,0.999374609,0.69798216,0,NA,0.999374609,0.69798216,10,2,11.11
